"Leaf_ID";"IDVar";"Water_treatment"
"5434_2022-07-05_HD";"V2972";"WD2"
"5087_2022-07-05_HD";"V3353";"WW"
"5082_2022-07-05_HD";"V3353";"WD1"
"5085_2022-07-05_HD";"V3353";"WD2"
"5661_2022-06-24_HD";"V749";"WW"
"5668_2022-06-24_HD";"V749";"WD1"
"5660_2022-06-24_HD";"V749";"WD2"
"6304_2022-06-24_HD";"V2842";"WW"
"6301_2022-06-24_HD";"V2842";"WD1"
"6302_2022-06-24_HD";"V2842";"WD2"
"7765_2022-07-11_HD";"V6863";"WW"
"7773_2022-07-11_HD";"V6863";"WD1"
"7767_2022-07-11_HD";"V6863";"WD2"
"6614_2022-06-30_HD";"V3455";"WW"
"6616_2022-06-30_HD";"V3455";"WD1"
"6610_2022-06-30_HD";"V3455";"WD2"
"4126_2022-06-24_HD";"V124";"WW"
"4120_2022-06-24_HD";"V124";"WD1"
"4129_2022-06-24_HD";"V124";"WD2"
"4933_2022-06-30_HD";"V3176";"WW"
"4938_2022-06-30_HD";"V3176";"WD1"
"4937_2022-06-30_HD";"V3176";"WD2"
"4363_2022-07-11_HD";"V613";"WW"
"4367_2022-07-11_HD";"V613";"WD1"
"4364_2022-07-11_HD";"V613";"WD2"
"5430_2022-07-11_HD";"V2972";"WW"
"5433_2022-07-11_HD";"V2972";"WD1"
"5431_2022-07-11_HD";"V2972";"WD2"
"5997_2022-06-24_HD";"V1766";"WW"
"5994_2022-06-24_HD";"V1766";"WD1"
"5991_2022-06-24_HD";"V1766";"WD2"
"5086_2022-06-30_HD";"V3353";"WW"
"5084_2022-06-30_HD";"V3353";"WD1"
"5083_2022-06-30_HD";"V3353";"WD2"
"7734_2022-07-26_HD";"V6857";"WW"
"7738_2022-07-26_HD";"V6857";"WD1"
"6373_2022-06-24_HD";"V3000";"WW"
"6377_2022-06-24_HD";"V3000";"WD1"
"6370_2022-06-24_HD";"V3000";"WD2"
"4837_2022-07-05_HD";"V2371";"WW"
"4834_2022-07-05_HD";"V2371";"WD1"
"4914_2022-07-05_HD";"V3016";"WW"
"4912_2022-07-05_HD";"V3016";"WD1"
"4911_2022-07-05_HD";"V3016";"WD2"
"5444_2022-06-24_HD";"V3009";"WW"
"5440_2022-06-24_HD";"V3009";"WD1"
"5448_2022-06-24_HD";"V3009";"WD2"
"4768_2022-06-24_HD";"V2279";"WW"
"4764_2022-06-24_HD";"V2279";"WD1"
"4761_2022-06-24_HD";"V2279";"WD2"
"5142_2022-07-05_HD";"V1888";"WW"
"5140_2022-07-05_HD";"V1888";"WD1"
"5141_2022-07-05_HD";"V1888";"WD2"
"5871_2022-07-05_HD";"V1636";"WW"
"5870_2022-07-05_HD";"V1636";"WD1"
"5875_2022-07-05_HD";"V1636";"WD2"
"6684_2022-06-24_HD";"V3499";"WW"
"6688_2022-06-24_HD";"V3499";"WD1"
"6682_2022-06-24_HD";"V3499";"WD2"
"6008_2022-06-24_HD";"V1769";"WW"
"6001_2022-06-24_HD";"V1769";"WD1"
"6002_2022-06-24_HD";"V1769";"WD2"
"6796_2022-07-11_HD";"V3657";"WW"
"6790_2022-07-11_HD";"V3657";"WD1"
"6792_2022-07-11_HD";"V3657";"WD2"
"4474_2022-06-30_HD";"V577";"WW"
"4475_2022-06-30_HD";"V577";"WD1"
"4479_2022-06-30_HD";"V577";"WD2"
"4894_2022-06-30_HD";"V2902";"WW"
"4898_2022-06-30_HD";"V2902";"WD1"
"4891_2022-06-30_HD";"V2902";"WD2"
"4658_2022-06-30_HD";"V257";"WW"
"4651_2022-06-30_HD";"V257";"WD1"
"4656_2022-06-30_HD";"V257";"WD2"
"5400_2022-06-30_HD";"V1972";"WW"
"5407_2022-06-30_HD";"V1972";"WD1"
"5402_2022-06-30_HD";"V1972";"WD2"
"6837_2022-06-24_HD";"V1628";"WW"
"4578_2022-06-24_HD";"V1628";"WD1"
"4570_2022-06-24_HD";"V1628";"WD2"
"4944_2022-07-11_HD";"V3181";"WW"
"4940_2022-07-11_HD";"V3181";"WD1"
"4942_2022-07-11_HD";"V3181";"WD2"
"6258_2022-07-07_HD";"V2665";"WW"
"6255_2022-07-07_HD";"V2665";"WD1"
"6254_2022-07-07_HD";"V2665";"WD2"
"6477_2022-07-11_HD";"V3262";"WW"
"6473_2022-07-11_HD";"V3262";"WD1"
"6471_2022-07-11_HD";"V3262";"WD2"
"5774_2022-06-24_HD";"V1277";"WW"
"5770_2022-06-24_HD";"V1277";"WD1"
"5776_2022-06-24_HD";"V1277";"WD2"
"6542_2022-07-12_HD";"V3316";"WW"
"6546_2022-07-12_HD";"V3316";"WD1"
"6543_2022-07-12_HD";"V3316";"WD2"
"5501_2022-06-14_HD";"V3412";"WW"
"5506_2022-06-14_HD";"V3412";"WD1"
"5503_2022-06-14_HD";"V3412";"WD2"
"4604_2022-07-06_HD";"V139";"WW"
"6537_2022-07-06_calib";"V3310";"WW"
"6537_2022-07-12_HD";"V3310";"WW"
"6535_2022-07-06_calib";"V3310";"WD1"
"6535_2022-07-12_HD";"V3310";"WD1"
"6539_2022-07-06_calib";"V3310";"WD2"
"6539_2022-07-12_HD";"V3310";"WD2"
"6753_2022-06-30_HD";"V3602";"WW"
"6754_2022-06-30_HD";"V3602";"WD1"
"6758_2022-06-30_HD";"V3602";"WD2"
"4432_2022-07-06_calib";"V252";"WW"
"4432_2022-07-12_HD";"V252";"WW"
"4439_2022-07-06_calib";"V252";"WD1"
"4439_2022-07-12_HD";"V252";"WD1"
"4438_2022-07-12_HD";"V252";"WD2"
"4269_2022-07-06_calib";"V403";"WW"
"4269_2022-07-12_HD";"V403";"WW"
"4260_2022-07-06_calib";"V403";"WD1"
"4260_2022-07-12_HD";"V403";"WD1"
"4261_2022-07-06_calib";"V403";"WD2"
"4261_2022-07-12_HD";"V403";"WD2"
"5671_2022-07-06_calib";"V789";"WW"
"5671_2022-07-12_HD";"V789";"WW"
"5673_2022-07-06_calib";"V789";"WD1"
"5673_2022-07-12_HD";"V789";"WD1"
"5679_2022-07-06_calib";"V789";"WD2"
"5679_2022-07-12_HD";"V789";"WD2"
"4967_2022-07-06_calib";"V1801";"WW"
"4967_2022-07-06_HD";"V1801";"WW"
"4960_2022-07-06_calib";"V1801";"WD1"
"4960_2022-07-06_HD";"V1801";"WD1"
"4968_2022-07-06_calib";"V1801";"WD2"
"4968_2022-07-06_HD";"V1801";"WD2"
"5130_2022-07-06_calib";"V666";"WW"
"5130_2022-07-26_HD";"V666";"WW"
"5131_2022-07-06_calib";"V666";"WD1"
"5131_2022-07-26_HD";"V666";"WD1"
"5136_2022-07-06_calib";"V666";"WD2"
"5136_2022-07-26_HD";"V666";"WD2"
"5800_2022-07-05_HD";"V1304";"WW"
"5808_2022-07-05_HD";"V1304";"WD1"
"5805_2022-07-05_HD";"V1304";"WD2"
"6556_2022-07-12_HD";"V3366";"WW"
"6554_2022-07-12_HD";"V3366";"WD1"
"6557_2022-07-12_HD";"V3366";"WD2"
"4786_2022-06-20_HD";"V2282";"WW"
"4782_2022-06-20_HD";"V2282";"WD1"
"4787_2022-06-20_HD";"V2282";"WD2"
"4511_2022-07-12_HD";"V1307";"WW"
"4512_2022-07-12_HD";"V1307";"WD1"
"4516_2022-07-12_HD";"V1307";"WD2"
"6761_2022-07-05_HD";"V3617";"WW"
"6763_2022-07-05_HD";"V3617";"WD1"
"6766_2022-07-05_HD";"V3617";"WD2"
"5157_2022-06-14_HD";"V2745";"WW"
"5155_2022-06-14_HD";"V2745";"WD1"
"5156_2022-06-14_HD";"V2745";"WD2"
"4618_2022-07-05_HD";"V157";"WW"
"4615_2022-07-05_HD";"V157";"WD1"
"4610_2022-07-05_HD";"V157";"WD2"
"5128_2022-07-05_HD";"V3403";"WW"
"5126_2022-07-05_HD";"V3403";"WD1"
"5121_2022-07-05_HD";"V3403";"WD2"
"4775_2022-07-05_HD";"V2281";"WW"
"4772_2022-07-05_HD";"V2281";"WD1"
"4774_2022-07-05_HD";"V2281";"WD2"
"6249_2022-06-14_HD";"V2659";"WW"
"6241_2022-06-14_HD";"V2659";"WD1"
"6243_2022-06-14_HD";"V2659";"WD2"
"5649_2022-07-12_HD";"V744";"WW"
"5645_2022-07-12_HD";"V744";"WD1"
"5646_2022-07-12_HD";"V744";"WD2"
"6659_2022-07-07_HD";"V3480";"WW"
"6651_2022-07-07_HD";"V3480";"WD1"
"6657_2022-07-07_HD";"V3480";"WD2"
"4397_2022-07-07_HD";"V44";"WW"
"4395_2022-07-07_HD";"V44";"WD1"
"4391_2022-07-07_HD";"V44";"WD2"
"4331_2022-07-07_HD";"V537";"WW"
"4337_2022-07-07_HD";"V537";"WD1"
"4339_2022-07-07_HD";"V537";"WD2"
"4811_2022-07-12_HD";"V2316";"WW"
"4812_2022-07-12_HD";"V2316";"WD1"
"4819_2022-07-12_HD";"V2316";"WD2"
"6629_2022-07-07_HD";"V3456";"WW"
"6626_2022-07-07_HD";"V3456";"WD1"
"6620_2022-07-07_HD";"V3456";"WD2"
"5397_2022-07-12_HD";"V1909";"WW"
"5396_2022-07-12_HD";"V1909";"WD1"
"5392_2022-07-12_HD";"V1909";"WD2"
"4073_2022-07-07_HD";"V50";"WW"
"4075_2022-07-07_HD";"V50";"WD1"
"4079_2022-07-07_HD";"V50";"WD2"
"6091_2022-07-07_HD";"V2342";"WW"
"6095_2022-07-07_HD";"V2342";"WD1"
"6098_2022-07-07_HD";"V2342";"WD2"
"4408_2022-06-20_HD";"V86";"WW"
"4407_2022-06-20_HD";"V86";"WD1"
"4400_2022-06-20_HD";"V86";"WD2"
"4818_2022-07-12_HD";"V2316";"WW"
"4815_2022-07-12_HD";"V2316";"WD2"
"4394_2022-07-05_HD";"V44";"WW"
"4392_2022-07-05_HD";"V44";"WD1"
"4390_2022-07-05_HD";"V44";"WD2"
"5152_2022-06-20_HD";"V2745";"WW"
"5158_2022-06-20_HD";"V2745";"WD1"
"5154_2022-06-20_HD";"V2745";"WD2"
"4401_2022-06-20_HD";"V86";"WW"
"4404_2022-06-20_HD";"V86";"WD1"
"4406_2022-06-20_HD";"V86";"WD2"
"4961_2022-07-05_HD";"V1801";"WW"
"4962_2022-07-05_HD";"V1801";"WD1"
"4964_2022-07-05_HD";"V1801";"WD2"
"6533_2022-07-05_HD";"V3310";"WW"
"6534_2022-07-05_HD";"V3310";"WD1"
"6536_2022-07-05_HD";"V3310";"WD2"
"4781_2022-06-23_HD";"V2282";"WW"
"4783_2022-06-23_HD";"V2282";"WD1"
"4780_2022-06-23_HD";"V2282";"WD2"
"5804_2022-07-05_HD";"V1304";"WW"
"5809_2022-07-05_HD";"V1304";"WD1"
"5802_2022-07-05_HD";"V1304";"WD2"
"6768_2022-07-05_HD";"V3617";"WW"
"6762_2022-07-05_HD";"V3617";"WD1"
"6764_2022-07-05_HD";"V3617";"WD2"
"6550_2022-07-05_HD";"V3366";"WW"
"6558_2022-07-05_HD";"V3366";"WD1"
"6552_2022-07-05_HD";"V3366";"WD2"
"4771_2022-07-12_HD";"V2281";"WW"
"4779_2022-07-12_HD";"V2281";"WD1"
"4778_2022-07-12_HD";"V2281";"WD2"
"6628_2022-07-12_HD";"V3456";"WW"
"6624_2022-07-12_HD";"V3456";"WD1"
"6627_2022-07-12_HD";"V3456";"WD2"
"5132_2022-07-26_HD";"V666";"WW"
"5133_2022-07-26_HD";"V666";"WD1"
"5138_2022-07-26_HD";"V666";"WD2"
"5502_2022-06-20_HD";"V3412";"WW"
"5500_2022-06-20_HD";"V3412";"WD1"
"5509_2022-06-20_HD";"V3412";"WD2"
"4264_2022-07-12_HD";"V403";"WW"
"4267_2022-07-12_HD";"V403";"WD1"
"4263_2022-07-12_HD";"V403";"WD2"
"5640_2022-07-12_HD";"V744";"WW"
"5648_2022-07-12_HD";"V744";"WD1"
"5644_2022-07-12_HD";"V744";"WD2"
"4518_2022-07-12_HD";"V1307";"WW"
"4510_2022-07-12_HD";"V1307";"WD1"
"4517_2022-07-12_HD";"V1307";"WD2"
"6246_2022-06-20_HD";"V2659";"WW"
"6242_2022-06-20_HD";"V2659";"WD1"
"6247_2022-06-20_HD";"V2659";"WD2"
"6755_2022-06-30_HD";"V3602";"WW"
"6759_2022-06-30_HD";"V3602";"WD1"
"6757_2022-06-30_HD";"V3602";"WD2"
"5127_2022-07-12_HD";"V3403";"WW"
"5120_2022-07-12_HD";"V3403";"WD1"
"6099_2022-06-30_HD";"V2342";"WW"
"6090_2022-06-30_HD";"V2342";"WD1"
"6092_2022-06-30_HD";"V2342";"WD2"
"4436_2022-07-12_HD";"V252";"WW"
"4430_2022-07-12_HD";"V252";"WD1"
"4437_2022-07-12_HD";"V252";"WD2"
"4606_2022-07-06_HD";"V139";"WD1"
"4605_2022-07-06_HD";"V139";"WD2"
"4338_2022-06-30_HD";"V537";"WW"
"4333_2022-06-30_HD";"V537";"WD1"
"4334_2022-06-30_HD";"V537";"WD2"
"5670_2022-07-12_HD";"V789";"WW"
"5675_2022-07-12_HD";"V789";"WD1"
"5677_2022-07-12_HD";"V789";"WD2"
"4613_2022-07-12_HD";"V157";"WW"
"4614_2022-07-12_HD";"V157";"WD1"
"4616_2022-07-12_HD";"V157";"WD2"
"5393_2022-07-12_HD";"V1909";"WW"
"5390_2022-07-12_HD";"V1909";"WD1"
"5399_2022-07-12_HD";"V1909";"WD2"
"6655_2022-07-12_HD";"V3480";"WW"
"6650_2022-07-12_HD";"V3480";"WD1"
"6654_2022-07-12_HD";"V3480";"WD2"
"4070_2022-06-30_HD";"V50";"WW"
"4076_2022-06-30_HD";"V50";"WD1"
"4071_2022-06-30_HD";"V50";"WD2"
"6548_2022-07-12_HD";"V3316";"WW"
"6541_2022-07-12_HD";"V3316";"WD1"
"6544_2022-07-12_HD";"V3316";"WD2"
"5267_2022-07-26_HD";"V1258";"WW"
"5266_2022-07-26_HD";"V1258";"WD2"
"5587_2022-07-13_HD";"V601";"WW"
"5589_2022-07-13_HD";"V601";"WD1"
"5586_2022-07-13_HD";"V601";"WD2"
"4096_2022-07-13_HD";"V74";"WW"
"4090_2022-07-13_HD";"V74";"WD1"
"4099_2022-07-13_HD";"V74";"WD2"
"5853_2022-06-20_HD";"V1583";"WW"
"5857_2022-06-20_HD";"V1583";"WD1"
"5851_2022-06-20_HD";"V1583";"WD2"
"6399_2022-07-13_HD";"V3082";"WW"
"6396_2022-07-13_HD";"V3082";"WD1"
"6398_2022-07-13_HD";"V3082";"WD2"
"5025_2022-07-13_HD";"V3112";"WW"
"5024_2022-07-13_HD";"V3112";"WD1"
"5020_2022-07-13_HD";"V3112";"WD2"
"5591_2022-06-20_HD";"V657";"WW"
"5593_2022-06-20_HD";"V657";"WD1"
"5594_2022-06-20_HD";"V657";"WD2"
"4110_2022-07-13_HD";"V114";"WW"
"4111_2022-07-13_HD";"V114";"WD1"
"4117_2022-07-13_HD";"V114";"WD2"
"6342_2022-07-13_HD";"V2890";"WW"
"6343_2022-07-13_HD";"V2890";"WD1"
"6345_2022-07-13_HD";"V2890";"WD2"
"5897_2022-07-13_HD";"V1653";"WW"
"5892_2022-07-13_HD";"V1653";"WD1"
"5893_2022-07-13_HD";"V1653";"WD2"
"5261_2022-07-26_HD";"V1258";"WW"
"5262_2022-07-26_HD";"V1258";"WD1"
"5268_2022-07-26_HD";"V1258";"WD2"
"4496_2022-07-07_HD";"V308";"WW"
"4495_2022-07-07_HD";"V308";"WD1"
"4497_2022-07-07_HD";"V308";"WD2"
"5939_2022-06-20_HD";"V1673";"WW"
"5936_2022-06-20_HD";"V1673";"WD1"
"5933_2022-06-20_HD";"V1673";"WD2"
"6390_2022-07-07_HD";"V3082";"WW"
"6393_2022-07-07_HD";"V3082";"WD1"
"6395_2022-07-07_HD";"V3082";"WD2"
"4751_2022-07-07_HD";"V2136";"WW"
"4754_2022-07-07_HD";"V2136";"WD1"
"4755_2022-07-07_HD";"V2136";"WD2"
"6066_2022-07-07_HD";"V2317";"WW"
"6063_2022-07-07_HD";"V2317";"WD1"
"6064_2022-07-07_HD";"V2317";"WD2"
"4116_2022-07-07_HD";"V114";"WW"
"4115_2022-07-07_HD";"V114";"WD1"
"4113_2022-07-07_HD";"V114";"WD2"
"6437_2022-07-26_HD";"V3221";"WW"
"6434_2022-07-26_HD";"V3221";"WD1"
"6433_2022-07-26_HD";"V3221";"WD2"
"5599_2022-06-14_HD";"V657";"WW"
"5595_2022-06-14_HD";"V657";"WD1"
"5590_2022-06-14_HD";"V657";"WD2"
"5942_2022-07-07_HD";"V1695";"WW"
"5940_2022-07-07_HD";"V1695";"WD1"
"5947_2022-07-07_HD";"V1695";"WD2"
"5852_2022-07-05_HD";"V1583";"WW"
"5856_2022-07-05_HD";"V1583";"WD1"
"5859_2022-07-05_HD";"V1583";"WD2"
"6236_2022-07-12_HD";"V2657";"WW"
"6233_2022-07-12_HD";"V2657";"WD1"
"6235_2022-07-12_HD";"V2657";"WD2"
"4146_2022-07-18_HD";"V129";"WW"
"4144_2022-07-18_HD";"V129";"WD1"
"4141_2022-07-18_HD";"V129";"WD2"
"5023_2022-07-12_HD";"V3112";"WW"
"5021_2022-07-12_HD";"V3112";"WD1"
"5029_2022-07-12_HD";"V3112";"WD2"
"6319_2022-07-18_HD";"V2844";"WW"
"6314_2022-07-18_HD";"V2844";"WD1"
"6318_2022-07-18_HD";"V2844";"WD2"
"5613_2022-07-18_HD";"V727";"WW"
"5618_2022-07-18_HD";"V727";"WD1"
"5614_2022-07-18_HD";"V727";"WD2"
"5890_2022-07-18_HD";"V1653";"WW"
"5899_2022-07-18_HD";"V1653";"WD1"
"5895_2022-07-18_HD";"V1653";"WD2"
"4841_2022-07-19_HD";"V2373";"WW"
"4846_2022-07-19_HD";"V2373";"WD1"
"4847_2022-07-19_HD";"V2373";"WD2"
"5585_2022-07-18_HD";"V601";"WW"
"5580_2022-07-18_HD";"V601";"WD1"
"5584_2022-07-18_HD";"V601";"WD2"
"4153_2022-07-05_HD";"V154";"WW"
"4152_2022-07-05_HD";"V154";"WD1"
"4150_2022-07-05_HD";"V154";"WD2"
"5738_2022-07-18_HD";"V1218";"WW"
"5733_2022-07-18_HD";"V1218";"WD1"
"5737_2022-07-18_HD";"V1218";"WD2"
"5098_2022-07-19_HD";"V3364";"WW"
"5090_2022-07-19_HD";"V3364";"WD1"
"5091_2022-07-19_HD";"V3364";"WD2"
"4714_2022-07-18_HD";"V2070";"WW"
"4718_2022-07-18_HD";"V2070";"WD1"
"4711_2022-07-18_HD";"V2070";"WD2"
"4323_2022-07-18_HD";"V446";"WW"
"4322_2022-07-18_HD";"V446";"WD1"
"4327_2022-07-18_HD";"V446";"WD2"
"4424_2022-07-18_HD";"V226";"WW"
"4421_2022-07-18_HD";"V226";"WD1"
"4420_2022-07-18_HD";"V226";"WD2"
"4978_2022-06-27_HD";"V1805";"WW"
"4976_2022-06-27_HD";"V1805";"WD1"
"4973_2022-06-27_HD";"V1805";"WD2"
"4359_2022-07-11_HD";"V585";"WW"
"4353_2022-07-11_HD";"V585";"WD1"
"4355_2022-07-11_HD";"V585";"WD2"
"6051_2022-07-18_HD";"V2247";"WW"
"6050_2022-07-18_HD";"V2247";"WD1"
"4564_2022-06-27_HD";"V1620";"WW"
"4566_2022-06-27_HD";"V1620";"WD1"
"4563_2022-06-27_HD";"V1620";"WD2"
"5284_2022-07-18_HD";"V1338";"WW"
"5289_2022-07-18_HD";"V1338";"WD1"
"5280_2022-07-18_HD";"V1338";"WD2"
"6265_2022-06-30_HD";"V2683";"WW"
"6262_2022-06-30_HD";"V2683";"WD1"
"6261_2022-06-30_HD";"V2683";"WD2"
"6643_2022-07-18_HD";"V3471";"WW"
"6649_2022-07-18_HD";"V3471";"WD1"
"6646_2022-07-18_HD";"V3471";"WD2"
"4094_2022-07-18_HD";"V74";"WW"
"4091_2022-07-18_HD";"V74";"WD1"
"4097_2022-07-18_HD";"V74";"WD2"
"6015_2022-07-11_HD";"V2107";"WW"
"6014_2022-07-11_HD";"V2107";"WD1"
"6016_2022-07-11_HD";"V2107";"WD2"
"6527_2022-07-26_HD";"V3308";"WW"
"6522_2022-07-26_HD";"V3308";"WD1"
"6525_2022-07-26_HD";"V3308";"WD2"
"4457_2022-07-12_HD";"V332";"WW"
"4457_2022-07-12_HD";"V332";"WW"
"4455_2022-07-12_HD";"V332";"WD1"
"4459_2022-07-12_HD";"V332";"WD2"
"5069_2022-06-30_HD";"V3164";"WW"
"5063_2022-06-30_HD";"V3164";"WD1"
"5067_2022-06-30_HD";"V3164";"WD2"
"6340_2022-07-18_HD";"V2890";"WW"
"6348_2022-07-18_HD";"V2890";"WD1"
"6344_2022-07-18_HD";"V2890";"WD2"
"4281_2022-07-18_HD";"V413";"WW"
"4287_2022-07-18_HD";"V413";"WD1"
"4282_2022-07-18_HD";"V413";"WD2"
"4342_2022-07-11_HD";"V569";"WW"
"4347_2022-07-11_HD";"V569";"WD1"
"4349_2022-07-11_HD";"V569";"WD2"
"6238_2022-06-30_HD";"V2657";"WW"
"6237_2022-06-30_HD";"V2657";"WD1"
"6239_2022-06-30_HD";"V2657";"WD2"
"6012_2022-06-30_HD";"V2107";"WW"
"6011_2022-06-30_HD";"V2107";"WD1"
"6010_2022-06-30_HD";"V2107";"WD2"
"4716_2022-07-07_HD";"V2070";"WW"
"4715_2022-07-07_HD";"V2070";"WD1"
"4712_2022-07-07_HD";"V2070";"WD2"
"5935_2022-06-20_HD";"V1673";"WW"
"5932_2022-06-20_HD";"V1673";"WD1"
"5937_2022-06-20_HD";"V1673";"WD2"
"6430_2022-07-26_HD";"V3221";"WW"
"6436_2022-07-26_HD";"V3221";"WD1"
"6432_2022-07-26_HD";"V3221";"WD2"
"6316_2022-07-07_HD";"V2844";"WW"
"6310_2022-07-07_HD";"V2844";"WD1"
"6312_2022-07-07_HD";"V2844";"WD2"
"4155_2022-06-30_HD";"V154";"WW"
"4156_2022-06-30_HD";"V154";"WD1"
"4151_2022-06-30_HD";"V154";"WD2"
"4569_2022-06-30_HD";"V1620";"WW"
"4562_2022-06-30_HD";"V1620";"WD1"
"4565_2022-06-30_HD";"V1620";"WD2"
"6061_2022-07-07_HD";"V2317";"WW"
"6067_2022-07-07_HD";"V2317";"WD1"
"6062_2022-07-07_HD";"V2317";"WD2"
"4284_2022-07-07_HD";"V413";"WW"
"4283_2022-07-07_HD";"V413";"WD1"
"4288_2022-07-07_HD";"V413";"WD2"
"4458_2022-07-13_HD";"V332";"WW"
"4450_2022-07-13_HD";"V332";"WD1"
"4453_2022-07-13_HD";"V332";"WD2"
"4329_2022-07-13_HD";"V446";"WW"
"4328_2022-07-13_HD";"V446";"WD1"
"4320_2022-07-13_HD";"V446";"WD2"
"5731_2022-07-13_HD";"V1218";"WW"
"5735_2022-07-13_HD";"V1218";"WD1"
"5734_2022-07-13_HD";"V1218";"WD2"
"6640_2022-07-13_HD";"V3471";"WW"
"6647_2022-07-13_HD";"V3471";"WD1"
"6641_2022-07-13_HD";"V3471";"WD2"
"4843_2022-07-25_HD";"V2373";"WW"
"4849_2022-07-25_HD";"V2373";"WD1"
"4848_2022-07-25_HD";"V2373";"WD2"
"5092_2022-07-25_HD";"V3364";"WW"
"5099_2022-07-25_HD";"V3364";"WD1"
"5095_2022-07-25_HD";"V3364";"WD2"
"4759_2022-07-13_HD";"V2136";"WW"
"4752_2022-07-13_HD";"V2136";"WD1"
"4753_2022-07-13_HD";"V2136";"WD2"
"4425_2022-07-13_HD";"V226";"WW"
"4426_2022-07-13_HD";"V226";"WD1"
"4429_2022-07-13_HD";"V226";"WD2"
"4494_2022-07-13_HD";"V308";"WW"
"4492_2022-07-13_HD";"V308";"WD1"
"4499_2022-07-13_HD";"V308";"WD2"
"4351_2022-07-11_HD";"V585";"WW"
"4352_2022-07-11_HD";"V585";"WD1"
"4357_2022-07-11_HD";"V585";"WD2"
"5615_2022-07-18_HD";"V727";"WW"
"5619_2022-07-18_HD";"V727";"WD1"
"5616_2022-07-18_HD";"V727";"WD2"
"5285_2022-07-18_HD";"V1338";"WW"
"5287_2022-07-18_HD";"V1338";"WD1"
"5286_2022-07-18_HD";"V1338";"WD2"
"4143_2022-07-18_HD";"V129";"WW"
"4145_2022-07-18_HD";"V129";"WD1"
"4147_2022-07-18_HD";"V129";"WD2"
"6052_2022-07-18_HD";"V2247";"WW"
"6058_2022-07-18_HD";"V2247";"WD1"
"6053_2022-07-18_HD";"V2247";"WD2"
"4977_2022-06-28_HD";"V1805";"WW"
"4974_2022-06-28_HD";"V1805";"WD1"
"4979_2022-06-28_HD";"V1805";"WD2"
"5943_2022-07-18_HD";"V1695";"WW"
"5946_2022-07-18_HD";"V1695";"WD1"
"5949_2022-07-18_HD";"V1695";"WD2"
"5062_2022-06-30_HD";"V3164";"WW"
"5060_2022-06-30_HD";"V3164";"WD1"
"5068_2022-06-30_HD";"V3164";"WD2"
"4344_2022-07-11_HD";"V569";"WW"
"4345_2022-07-11_HD";"V569";"WD1"
"4346_2022-07-11_HD";"V569";"WD2"
"6523_2022-07-26_HD";"V3308";"WW"
"6529_2022-07-26_HD";"V3308";"WD1"
"6521_2022-07-26_HD";"V3308";"WD2"
"4872_2022-07-18_HD";"V2747";"WW"
"4871_2022-07-18_HD";"V2747";"WD1"
"4874_2022-07-18_HD";"V2747";"WD2"
"5001_2022-07-18_HD";"V3093";"WW"
"5002_2022-07-18_HD";"V3093";"WD1"
"5008_2022-07-18_HD";"V3093";"WD2"
"4048_2022-07-13_HD";"V26";"WW"
"5860_2022-07-18_HD";"V1631";"WW"
"5863_2022-07-18_HD";"V1631";"WD1"
"5865_2022-07-18_HD";"V1631";"WD2"
"6706_2022-07-18_HD";"V3521";"WW"
"6701_2022-07-18_HD";"V3521";"WD1"
"4290_2022-07-18_HD";"V424";"WW"
"4295_2022-07-18_HD";"V424";"WD1"
"4294_2022-07-18_HD";"V424";"WD2"
"6713_2022-07-26_calib";"V3551";"WW"
"6713_2022-07-18_HD";"V3551";"WW"
"6717_2022-07-26_calib";"V3551";"WD1"
"6717_2022-07-18_HD";"V3551";"WD1"
"6710_2022-07-26_calib";"V3551";"WD2"
"6710_2022-07-18_HD";"V3551";"WD2"
"5274_2022-07-18_HD";"V1301";"WW"
"5270_2022-07-18_HD";"V1301";"WD1"
"5279_2022-07-18_HD";"V1301";"WD2"
"5728_2022-07-18_HD";"V1217";"WW"
"5722_2022-07-18_HD";"V1217";"WD1"
"5721_2022-07-18_HD";"V1217";"WD2"
"4182_2022-07-26_calib";"V328";"WW"
"4182_2022-07-18_HD";"V328";"WW"
"4186_2022-07-26_calib";"V328";"WD1"
"4186_2022-07-18_HD";"V328";"WD1"
"4180_2022-07-26_calib";"V328";"WD2"
"4180_2022-07-18_HD";"V328";"WD2"
"4926_2022-07-19_HD";"V3090";"WW"
"4920_2022-07-19_HD";"V3090";"WD1"
"4923_2022-07-19_HD";"V3090";"WD2"
"6805_2022-07-26_calib";"V3746";"WW"
"6805_2022-07-19_HD";"V3746";"WW"
"6804_2022-07-26_calib";"V3746";"WD1"
"6804_2022-07-19_HD";"V3746";"WD1"
"6800_2022-07-26_calib";"V3746";"WD2"
"6800_2022-07-19_HD";"V3746";"WD2"
"6567_2022-07-26_calib";"V3379";"WW"
"6567_2022-07-19_HD";"V3379";"WW"
"6563_2022-07-26_calib";"V3379";"WD1"
"6563_2022-07-19_HD";"V3379";"WD1"
"6564_2022-07-26_calib";"V3379";"WD2"
"6564_2022-07-19_HD";"V3379";"WD2"
"4903_2022-07-19_HD";"V2968";"WW"
"4901_2022-07-19_HD";"V2968";"WD1"
"4904_2022-07-19_HD";"V2968";"WD2"
"5012_2022-07-26_calib";"V3099";"WW"
"5012_2022-07-19_HD";"V3099";"WW"
"5012_2022-07-26_HD";"V3099";"WW"
