"Leaf_ID";"IDVar";"Water_treatment"
"4790_2022-06-07_HD";"V2304";"WW"
"4793_2022-06-07_HD";"V2304";"WD1"
"4796_2022-06-07_HD";"V2304";"WD2"
"6187_2022-06-07_HD";"V2597";"WW"
"6182_2022-06-07_HD";"V2597";"WD1"
"6188_2022-06-07_HD";"V2597";"WD2"
"4954_2022-06-30_HD";"V3376";"WW"
"4951_2022-06-30_HD";"V3376";"WD1"
"4950_2022-06-30_HD";"V3376";"WD2"
"5034_2022-06-07_HD";"V3148";"WW"
"5037_2022-06-07_HD";"V3148";"WD1"
"5036_2022-06-07_HD";"V3148";"WD2"
"5838_2022-06-07_HD";"V1531";"WW"
"5831_2022-06-07_HD";"V1531";"WD1"
"5839_2022-06-07_HD";"V1531";"WD2"
"5055_2022-06-07_HD";"V3159";"WW"
"5050_2022-06-07_HD";"V3159";"WD1"
"5053_2022-06-07_HD";"V3159";"WD2"
"6286_2022-06-24_HD";"V2725";"WW"
"6284_2022-06-24_HD";"V2725";"WD1"
"6283_2022-06-24_HD";"V2725";"WD2"
"7750_2022-06-27_HD";"V6858";"WD1"
"7745_2022-06-27_HD";"V6858";"WD2"
"4852_2022-06-07_HD";"V2418";"WW"
"4851_2022-06-07_HD";"V2418";"WD1"
"4858_2022-06-07_HD";"V2418";"WD2"
"5483_2022-06-07_HD";"V3380";"WW"
"5482_2022-06-07_HD";"V3380";"WD1"
"5484_2022-06-07_HD";"V3380";"WD2"
"4506_2022-06-07_HD";"V1227";"WW"
"4505_2022-06-07_HD";"V1227";"WD1"
"4508_2022-06-07_HD";"V1227";"WD2"
"5245_2022-06-07_HD";"V1237";"WW"
"5240_2022-06-07_HD";"V1237";"WD1"
"5246_2022-06-07_HD";"V1237";"WD2"
"5745_2022-06-07_HD";"V1221";"WW"
"5747_2022-06-07_HD";"V1221";"WD1"
"5749_2022-06-07_HD";"V1221";"WD2"
"6103_2022-07-11_HD";"V2348";"WW"
"6109_2022-07-11_HD";"V2348";"WD1"
"6101_2022-07-11_HD";"V2348";"WD2"
"5967_2022-06-07_HD";"V1719";"WW"
"5965_2022-06-07_HD";"V1719";"WD1"
"5964_2022-06-07_HD";"V1719";"WD2"
"5195_2022-06-07_HD";"V2982";"WW"
"5190_2022-06-07_HD";"V2982";"WD1"
"5196_2022-06-07_HD";"V2982";"WD2"
"4684_2022-06-07_HD";"V2013";"WD1"
"4683_2022-06-07_HD";"V2013";"WD2"
"5918_2022-06-07_HD";"V1662";"WW"
"5914_2022-06-07_HD";"V1662";"WD1"
"5691_2022-06-07_HD";"V830";"WW"
"5696_2022-06-07_HD";"V830";"WD1"
"5690_2022-06-07_HD";"V830";"WD2"
"4464_2022-06-07_HD";"V556";"WW"
"4468_2022-06-07_HD";"V556";"WD1"
"4467_2022-06-07_HD";"V556";"WD2"
"4587_2022-06-07_HD";"V1791";"WW"
"4582_2022-06-07_HD";"V1791";"WD1"
"4580_2022-06-07_HD";"V1791";"WD2"
"4823_2022-06-07_HD";"V2349";"WW"
"4820_2022-06-07_HD";"V2349";"WD1"
"4824_2022-06-07_HD";"V2349";"WD2"
"5323_2022-06-07_HD";"V1578";"WW"
"5327_2022-06-07_HD";"V1578";"WD1"
"5328_2022-06-07_HD";"V1578";"WD2"
"6167_2022-06-09_HD";"V2505";"WW"
"6161_2022-06-09_HD";"V2505";"WD1"
"6162_2022-06-09_HD";"V2505";"WD2"
"4696_2022-06-09_HD";"V2043";"WW"
"4698_2022-06-09_HD";"V2043";"WD1"
