"Leaf_ID";"Experiment";"Phenotyping_type";"LMA";"WCf";"WQ";"An";"PSI";"WUEintr";"WUEinst"
"5681_20/07/21";"Outdoor";"HT";4,97359221477642;NA;NA;NA;NA;NA;NA
"5685_23/07/21";"Outdoor";"HT";6,38609240377293;NA;NA;NA;NA;NA;NA
"6146_19/07/21";"Outdoor";"HT";6,48556424806846;NA;NA;NA;NA;NA;NA
"6148_20/07/21";"Outdoor";"HT";5,52068735840183;NA;NA;NA;NA;NA;NA
"6143_23/07/21";"Outdoor";"HT";7,03265939169386;NA;NA;NA;NA;NA;NA
"5405_19/07/21";"Outdoor";"HT";3,87940192752561;NA;NA;NA;NA;NA;NA
"5401_20/07/21";"Outdoor";"HT";5,58037046497915;NA;NA;NA;NA;NA;NA
"5406_23/07/21";"Outdoor";"HT";4,24744775141906;NA;NA;NA;NA;NA;NA
"5276_19/07/21";"Outdoor";"HT";4,86417318605134;NA;NA;NA;NA;NA;NA
"5279_20/07/21";"Outdoor";"HT";4,23750056698951;NA;NA;NA;NA;NA;NA
"5271_23/07/21";"Outdoor";"HT";4,08829280054622;NA;NA;NA;NA;NA;NA
"6007_19/07/21";"Outdoor";"HT";4,76470134175581;NA;NA;NA;NA;NA;NA
"6006_20/07/21";"Outdoor";"HT";4,41654988672146;NA;NA;NA;NA;NA;NA
"6009_23/07/21";"Outdoor";"HT";4,88406755491045;NA;NA;NA;NA;NA;NA
"5253_19/07/21";"Outdoor";"HT";5,27200774766301;NA;NA;NA;NA;NA;NA
"5250_20/07/21";"Outdoor";"HT";4,66522949746029;NA;NA;NA;NA;NA;NA
"5252_23/07/21";"Outdoor";"HT";3,40193707490707;NA;NA;NA;NA;NA;NA
"6681_19/07/21";"Outdoor";"HT";4,25739493584862;NA;NA;NA;NA;NA;NA
"6680_20/07/21";"Outdoor";"HT";4,22755338255996;NA;NA;NA;NA;NA;NA
"6686_23/07/21";"Outdoor";"HT";4,3668139645737;NA;NA;NA;NA;NA;NA
"4648_19/07/21";"Outdoor";"HT";5,4212155141063;NA;NA;NA;NA;NA;NA
"4640_20/07/21";"Outdoor";"HT";4,60554639088297;NA;NA;NA;NA;NA;NA
"4643_23/07/21";"Outdoor";"HT";5,16258871893793;NA;NA;NA;NA;NA;NA
"4294_19/07/21";"Outdoor";"HT";4,44639144001012;NA;NA;NA;NA;NA;NA
"4292_20/07/21";"Outdoor";"HT";5,43116269853585;NA;NA;NA;NA;NA;NA
"4290_23/07/21";"Outdoor";"HT";5,33169085424033;NA;NA;NA;NA;NA;NA
"6187_19/07/21";"Outdoor";"HT";4,04850406282801;NA;NA;NA;NA;NA;NA
"6186_20/07/21";"Outdoor";"HT";6,23688463732963;NA;NA;NA;NA;NA;NA
"6181_23/07/21";"Outdoor";"HT";4,1778174604122;NA;NA;NA;NA;NA;NA
"4194_19/07/21";"Outdoor";"HT";4,61549357531252;NA;NA;NA;NA;NA;NA
"4192_20/07/21";"Outdoor";"HT";4,18776464484175;NA;NA;NA;NA;NA;NA
"4196_23/07/21";"Outdoor";"HT";4,28723648913728;NA;NA;NA;NA;NA;NA
"4650_19/07/21";"Outdoor";"HT";5,82905007571797;NA;NA;NA;NA;NA;NA
"4657_20/07/21";"Outdoor";"HT";4,80449007947403;NA;NA;NA;NA;NA;NA
"4653_23/07/21";"Outdoor";"HT";5,21232464108569;NA;NA;NA;NA;NA;NA
"6448_19/07/21";"Outdoor";"HT";4,94375066148776;NA;NA;NA;NA;NA;NA
"6444_20/07/21";"Outdoor";"HT";5,80915570685886;NA;NA;NA;NA;NA;NA
"6440_23/07/21";"Outdoor";"HT";5,32174366981077;NA;NA;NA;NA;NA;NA
"5363_19/07/21";"Outdoor";"HT";5,43779415415908;NA;NA;NA;NA;NA;NA
"5365_20/07/21";"Outdoor";"HT";3,61281738481359;NA;NA;NA;NA;NA;NA
"5360_23/07/21";"Outdoor";"HT";4,24744775141906;NA;NA;NA;NA;NA;NA
"4544_19/07/21";"Outdoor";"HT";3,30246523061155;NA;NA;NA;NA;NA;NA
"4547_20/07/21";"Outdoor";"HT";4,0087153251098;NA;NA;NA;NA;NA;NA
"4548_23/07/21";"Outdoor";"HT";2,47684892295866;NA;NA;NA;NA;NA;NA
"4015_20/07/21";"Outdoor";"HT";3,97887377182114;NA;NA;NA;NA;NA;NA
"4019_23/07/21";"Outdoor";"HT";3,24278212403423;NA;NA;NA;NA;NA;NA
"6107_19/07/21";"Outdoor";"HT";4,99348658363553;NA;NA;NA;NA;NA;NA
"6106_20/07/21";"Outdoor";"HT";4,14797590712354;NA;NA;NA;NA;NA;NA
"6104_23/07/21";"Outdoor";"HT";4,75475415732626;NA;NA;NA;NA;NA;NA
"5852_19/07/21";"Outdoor";"HT";3,69040542336411;NA;NA;NA;NA;NA;NA
"5850_20/07/21";"Outdoor";"HT";3,78987726765963;NA;NA;NA;NA;NA;NA
"5859_23/07/21";"Outdoor";"HT";3,96892658739159;NA;NA;NA;NA;NA;NA
"5100_19/07/21";"Outdoor";"HT";4,3668139645737;NA;NA;NA;NA;NA;NA
"5104_20/07/21";"Outdoor";"HT";3,30246523061155;NA;NA;NA;NA;NA;NA
"5104_23/07/21";"Outdoor";"HT";3,25272930846378;NA;NA;NA;NA;NA;NA
"4314_19/07/21";"Outdoor";"HT";4,38670833343281;NA;NA;NA;NA;NA;NA
"4310_20/07/21";"Outdoor";"HT";5,66989512484512;NA;NA;NA;NA;NA;NA
"4318_23/07/21";"Outdoor";"HT";5,61021201826781;NA;NA;NA;NA;NA;NA
"6394_19/07/21";"Outdoor";"HT";4,98353939920598;NA;NA;NA;NA;NA;NA
"6392_20/07/21";"Outdoor";"HT";5,10290561236061;NA;NA;NA;NA;NA;NA
"6390_23/07/21";"Outdoor";"HT";5,65000075598602;NA;NA;NA;NA;NA;NA
"5693_19/07/21";"Outdoor";"HT";4,63538794417163;NA;NA;NA;NA;NA;NA
"5691_20/07/21";"Outdoor";"HT";4,3668139645737;NA;NA;NA;NA;NA;NA
"5694_23/07/21";"Outdoor";"HT";4,57570483759431;NA;NA;NA;NA;NA;NA
"6063_19/07/21";"Outdoor";"HT";4,68512386631939;NA;NA;NA;NA;NA;NA
"6064_20/07/21";"Outdoor";"HT";4,24744775141906;NA;NA;NA;NA;NA;NA
"6062_23/07/21";"Outdoor";"HT";4,88406755491045;NA;NA;NA;NA;NA;NA
"4827_19/07/21";"Outdoor";"HT";5,79920852242931;NA;NA;NA;NA;NA;NA
"4822_20/07/21";"Outdoor";"HT";4,65528231303073;NA;NA;NA;NA;NA;NA
